"Time","{container_name=""bff-grpc-api""}","{container_name=""brands-grpc-api""}","{container_name=""categories-grpc-api""}","{container_name=""images-grpc-api""}","{container_name=""products-grpc-api""}","{container_name=""sellers-grpc-api""}"
2025-09-08 19:26:15,0.0000168,0.0000245,0.0000228,0.0000248,0.0000250,0.0000285
2025-09-08 19:26:30,0.0000183,0.0000267,0.0000249,0.0000271,0.0000272,0.0000311
2025-09-08 19:26:45,0.0000183,0.0000267,0.0000249,0,0.0000272,0
2025-09-08 19:27:00,0.0000369,0.0000721,0.0000721,0.000119,0.0000851,0.000140
2025-09-08 19:27:15,0.101,0.0441,0.0461,0.0311,0.0271,0.0367
2025-09-08 19:27:30,0.631,0.147,0.156,0.118,0.132,0.148
2025-09-08 19:27:45,0.998,0.213,0.222,0.176,0.201,0.212
2025-09-08 19:28:00,1.69,0.338,0.355,0.303,0.333,0.332
2025-09-08 19:28:15,1.57,0.280,0.287,0.270,0.296,0.277
2025-09-08 19:28:30,1.25,0.225,0.232,0.217,0.239,0.217
2025-09-08 19:28:45,0.553,0.0962,0.0961,0.0923,0.107,0.0949
2025-09-08 19:29:00,0.195,0.0342,0.0341,0.0321,0.0380,0.0333
2025-09-08 19:29:15,0.00000242,0,0,0.00000455,0.00000295,0
2025-09-08 19:29:30,0.00000242,0.00000336,0.00000682,0.00000455,0.00000295,0.00000469
