"Time","{container_name=""bff-grpc-api""}","{container_name=""brands-grpc-api""}","{container_name=""categories-grpc-api""}","{container_name=""images-grpc-api""}","{container_name=""products-grpc-api""}","{container_name=""sellers-grpc-api""}"
2025-09-08 19:52:15,8.91e-7,0.00000336,0.00000104,0.00000180,0.00000402,0.00000369
2025-09-08 19:52:30,8.91e-7,0.00000336,0.00000104,0.00000180,0.00000402,0.00000369
2025-09-08 19:52:45,0.000166,0,0.000130,0.000130,0,0
2025-09-08 19:53:00,0.424,0.0778,0.0742,0.0712,0.0776,0.0783
2025-09-08 19:53:15,0.787,0.144,0.138,0.140,0.143,0.142
2025-09-08 19:53:30,1.51,0.274,0.267,0.264,0.284,0.273
2025-09-08 19:53:45,1.80,0.325,0.321,0.312,0.340,0.320
2025-09-08 19:54:00,1.74,0.312,0.309,0.308,0.329,0.309
2025-09-08 19:54:15,1.02,0.181,0.180,0.177,0.196,0.181
2025-09-08 19:54:30,0.653,0.116,0.116,0.114,0.122,0.115
2025-09-08 19:54:45,0,0.00000576,0,0,0.0000432,0.00000211
