"Time","{container_name=""bff-grpc-api""}","{container_name=""brands-grpc-api""}","{container_name=""categories-grpc-api""}","{container_name=""images-grpc-api""}","{container_name=""products-grpc-api""}","{container_name=""sellers-grpc-api""}","{container_name=""bff-grpc-api""}","{container_name=""brands-grpc-api""}","{container_name=""categories-grpc-api""}","{container_name=""images-grpc-api""}","{container_name=""products-grpc-api""}","{container_name=""sellers-grpc-api""}"
2025-09-08 19:35:45,32.4 B/s,6.33 B/s,6.33 B/s,6.33 B/s,7.09 B/s,6.33 B/s,32.4 B/s,6.33 B/s,6.33 B/s,6.33 B/s,7.09 B/s,6.33 B/s
2025-09-08 19:36:00,33.9 B/s,6.33 B/s,6.33 B/s,7.09 B/s,7.09 B/s,7.09 B/s,33.9 B/s,6.33 B/s,6.33 B/s,7.09 B/s,7.09 B/s,7.09 B/s
2025-09-08 19:36:15,31.6 B/s,5.56 B/s,6.33 B/s,6.33 B/s,7.09 B/s,6.33 B/s,31.6 B/s,5.56 B/s,6.33 B/s,6.33 B/s,7.09 B/s,6.33 B/s
2025-09-08 19:36:30,802 kB/s,80.5 kB/s,81.5 kB/s,74.7 kB/s,95.4 kB/s,80.5 kB/s,1.03 MB/s,145 kB/s,93.2 kB/s,112 kB/s,165 kB/s,90.6 kB/s
2025-09-08 19:36:45,1.23 MB/s,124 kB/s,125 kB/s,115 kB/s,147 kB/s,124 kB/s,1.59 MB/s,223 kB/s,143 kB/s,172 kB/s,254 kB/s,140 kB/s
2025-09-08 19:37:00,1.87 MB/s,189 kB/s,191 kB/s,175 kB/s,222 kB/s,189 kB/s,2.42 MB/s,340 kB/s,217 kB/s,261 kB/s,385 kB/s,212 kB/s
2025-09-08 19:37:15,1.81 MB/s,182 kB/s,184 kB/s,165 kB/s,214 kB/s,183 kB/s,2.33 MB/s,327 kB/s,209 kB/s,247 kB/s,370 kB/s,205 kB/s
2025-09-08 19:37:30,1.41 MB/s,143 kB/s,144 kB/s,132 kB/s,167 kB/s,143 kB/s,1.83 MB/s,256 kB/s,164 kB/s,197 kB/s,290 kB/s,160 kB/s
2025-09-08 19:37:45,637 kB/s,64.9 kB/s,64.8 kB/s,59.4 kB/s,74.9 kB/s,64.6 kB/s,824 kB/s,115 kB/s,73.9 kB/s,89.0 kB/s,130 kB/s,72.3 kB/s
2025-09-08 19:38:00,341 kB/s,34.5 kB/s,34.7 kB/s,31.7 kB/s,40.1 kB/s,34.5 kB/s,440 kB/s,61.4 kB/s,39.8 kB/s,47.5 kB/s,69.6 kB/s,38.8 kB/s
2025-09-08 19:38:15,23.3 B/s,4.36 B/s,5.13 B/s,4.36 B/s,5.13 B/s,4.36 B/s,23.3 B/s,4.36 B/s,5.13 B/s,4.36 B/s,5.13 B/s,4.36 B/s
2025-09-08 19:38:30,31.6 B/s,6.33 B/s,6.33 B/s,6.33 B/s,6.33 B/s,6.33 B/s,31.6 B/s,6.33 B/s,6.33 B/s,6.33 B/s,6.33 B/s,6.33 B/s
