"Time","{container_name=""bff-grpc-api""}","{container_name=""brands-grpc-api""}","{container_name=""categories-grpc-api""}","{container_name=""images-grpc-api""}","{container_name=""products-grpc-api""}","{container_name=""sellers-grpc-api""}"
2025-09-08 19:17:15,0.0000971,0.00000433,0.00000315,0.0000119,0.00000378,0.00000471
2025-09-08 19:17:30,0,0.00000398,0.00000124,0.00000109,0.00000173,0.00000424
2025-09-08 19:17:45,0.00000913,0.00000398,0.00000124,0.00000109,0.00000173,0.00000424
2025-09-08 19:18:00,0.261,0.0665,0.0743,0.0640,0.0765,0.0485
2025-09-08 19:18:15,0.950,0.186,0.194,0.183,0.204,0.173
2025-09-08 19:18:30,1.28,0.241,0.256,0.236,0.264,0.243
2025-09-08 19:18:45,2.03,0.372,0.383,0.361,0.400,0.374
2025-09-08 19:19:00,1.44,0.247,0.251,0.242,0.261,0.263
2025-09-08 19:19:15,1.09,0.188,0.190,0.180,0.198,0.202
2025-09-08 19:19:30,0.388,0.0677,0.0654,0.0652,0.0703,0.0679
2025-09-08 19:19:45,0.0129,0.00214,0.00205,0.00202,0.00201,0.00205
2025-09-08 19:20:00,0,0,0,0.00000440,0,0.00000396
