"Time","{container_name=""bff-api""}"
2025-09-06 19:46:00,0 B/s
2025-09-06 19:46:15,0 B/s
2025-09-06 19:46:30,0 B/s
2025-09-06 19:46:45,0 B/s
2025-09-06 19:47:00,1.30 MB/s
2025-09-06 19:47:15,1.97 MB/s
2025-09-06 19:47:30,3.21 MB/s
2025-09-06 19:47:45,3.17 MB/s
2025-09-06 19:48:00,2.53 MB/s
2025-09-06 19:48:15,1.23 MB/s
2025-09-06 19:48:30,620 kB/s
2025-09-06 19:48:45,725 B/s
2025-09-06 19:49:00,968 B/s
2025-09-06 19:49:15,728 B/s
